id,handle,title,fits_on,fits_on_year,fits_on_make,fits_on_model,fits_on_year_new,fits_on_make_new,fits_on_model_new,ymm_summary,parts_compartment,parts_floor,parts_shelve,parts_list,parts_box,parts_row,global_fits_on_make_new,global_fits_on_model_new,global_fits_on_year_new,MPN
9370040041802,hsq-0000150606800,Locking screw,"{""HUSQVARNA"":{""FC 450"":[""2023""],""FC 450 ROCKSTAR EDITION"":[""2022"",""2023""]}}",2022||2023,HUSQVARNA,FC 450||FC 450 ROCKSTAR EDITION,,,,HUSQVARNA — 2022-2023,,,,,,,,,,0000150606800
9369804800330,hsq-00010000229,Hourmeter kit,"{""HUSQVARNA"":{""FC 250"":[""2014"",""2015"",""2016""],""FC 350"":[""2014"",""2015"",""2016""],""FC 450"":[""2014"",""2015"",""2016""],""FE 250"":[""2015"",""2016""],""FE 350"":[""2015"",""2016""],""FE 350S"":[""2015"",""2016""],""FE 450"":[""2015"",""2016""],""FE 501"":[""2015"",""2016""],""FE 501S"":[""2015"",""2016""],""FS 450"":[""2015"",""2016""],""TC 125"":[""2014"",""2015"",""2016""],""TC 250"":[""2014"",""2015"",""2016""],""TE 125"":[""2015"",""2016""],""TE 250"":[""2015"",""2016""],""TE 300"":[""2015"",""2016""]}}",2014||2015||2016,HUSQVARNA,FC 250||FC 350||FC 450||FE 250||FE 350||FE 350S||FE 450||FE 501||FE 501S||FS 450||TC 125||TC 250||TE 125||TE 250||TE 300,,,,HUSQVARNA — 2014-2016,,,,,,,,,,00010000229
10230406054218,hsq-00010000283,Wheel set,"{""HUSQVARNA"":{""SVARTPILEN 125"":[""2021"",""2022"",""2023""],""SVARTPILEN 401"":[""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""VITPILEN 401"":[""2018"",""2019"",""2020"",""2021"",""2022"",""2023""]}}",2018||2019||2020||2021||2022||2023,HUSQVARNA,SVARTPILEN 125||SVARTPILEN 401||VITPILEN 401,,,,HUSQVARNA — 2018-2023,,,,,,,,,,00010000283
9369744474442,hsq-00010000291,Mirror,"{""HUSQVARNA"":{""701 ENDURO"":[""2021"",""2022"",""2023"",""2024"",""2026"",""2027""],""701 SUPERMOTO"":[""2021"",""2022"",""2023"",""2024"",""2026""],""NORDEN 901"":[""2022"",""2023"",""2024""],""SVARTPILEN 125"":[""2021"",""2022"",""2023"",""2024"",""2025""],""SVARTPILEN 200"":[""2020"",""2021"",""2022"",""2023""],""SVARTPILEN 250"":[""2020"",""2021"",""2022"",""2023"",""2024"",""2025""],""SVARTPILEN 401"":[""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025"",""2026""],""SVARTPILEN 701"":[""2019"",""2020""],""SVARTPILEN 801"":[""2024"",""2025""],""SVARTPILEN 801 L"":[""2025""],""SVARTPILEN 801 SE"":[""2026"",""2027""],""VITPILEN 125"":[""2024"",""2025""],""VITPILEN 250"":[""2020"",""2024""],""VITPILEN 401"":[""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025"",""2026""],""VITPILEN 701"":[""2018"",""2019"",""2020""],""VITPILEN 801"":[""2025"",""2026""],""VITPILEN 801 L"":[""2025""]}}",2018||2019||2020||2021||2022||2023||2024||2025||2026||2027,HUSQVARNA,701 ENDURO||701 SUPERMOTO||NORDEN 901||SVARTPILEN 125||SVARTPILEN 200||SVARTPILEN 250||SVARTPILEN 401||SVARTPILEN 701||SVARTPILEN 801||SVARTPILEN 801 L||SVARTPILEN 801 SE||VITPILEN 125||VITPILEN 250||VITPILEN 401||VITPILEN 701||VITPILEN 801||VITPILEN 801 L,,,,HUSQVARNA 701 (ENDURO) 2018-2027,,,,,,,,,,00010000291
10230404514122,hsq-00010000298,Factory Racing triple clamp kit,"{""HUSQVARNA"":{""FE 250"":[""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350"":[""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350 ROCKSTAR EDITION"":[""2021"",""2022""],""FE 350S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""FE 450"":[""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 501"":[""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 501S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""TE 125"":[""2015"",""2016""],""TE 150"":[""2017"",""2018"",""2019"",""2023""],""TE 150I"":[""2020"",""2021"",""2022""],""TE 250"":[""2015"",""2016"",""2017"",""2018"",""2023""],""TE 250I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300"":[""2015"",""2016"",""2017"",""2018"",""2023""],""TE 300I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2021"",""2022""]}}",2015||2016||2017||2018||2019||2020||2021||2022||2023,HUSQVARNA,FE 250||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 450||FE 501||FE 501S||TE 125||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION,,,,HUSQVARNA — 2015-2023,,,,,,,,,,00010000298
9369742541130,hsq-00010000299,Factory triple clamp kit/Factory steering damper kit,"{""HUSQVARNA"":{""FE 250"":[""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350"":[""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350 ROCKSTAR EDITION"":[""2021"",""2022""],""FE 350S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""FE 390"":[""2010"",""2011"",""2012""],""FE 450"":[""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 450 E"":[""2008""],""FE 501"":[""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 501S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""FE 550 E"":[""2008""],""FE 570"":[""2009"",""2010"",""2011"",""2012""],""FE 570 S"":[""2011""],""FE 650 E"":[""2008""],""TE 125"":[""2012"",""2013"",""2014"",""2015"",""2016""],""TE 150"":[""2017"",""2018"",""2019"",""2023""],""TE 150I"":[""2020"",""2021"",""2022""],""TE 250"":[""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2023""],""TE 250I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300"":[""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2023""],""TE 300I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2021"",""2022""]}}",2008||2009||2010||2011||2012||2013||2014||2015||2016||2017||2018||2019||2020||2021||2022||2023,HUSQVARNA,FE 250||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 390||FE 450||FE 450 E||FE 501||FE 501S||FE 550 E||FE 570||FE 570 S||FE 650 E||TE 125||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION,,,,HUSQVARNA — 2008-2023,,,,,,,,,,00010000299
9369742508362,hsq-00010000303,Factory triple clamp kit/Factory steering damper kit,"{""HUSQVARNA"":{""FE 250"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350 ROCKSTAR EDITION"":[""2021"",""2022""],""FE 350S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""FE 450"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 501"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 501S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""TE 125"":[""2014"",""2015"",""2016""],""TE 150"":[""2017"",""2018"",""2019"",""2023""],""TE 150I"":[""2020"",""2021"",""2022""],""TE 250"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2023""],""TE 250I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2023""],""TE 300I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2021"",""2022""]}}",2014||2015||2016||2017||2018||2019||2020||2021||2022||2023,HUSQVARNA,FE 250||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 450||FE 501||FE 501S||TE 125||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION,,,,HUSQVARNA — 2014-2023,,,,,,,,,,00010000303
9369846743370,hsq-00010000312,Plastic parts kit,"{""HUSQVARNA"":{""FC 250"":[""2016"",""2017"",""2018""],""FC 350"":[""2016"",""2017"",""2018""],""FC 450"":[""2016"",""2017"",""2018""],""FE 250"":[""2017"",""2018"",""2019""],""FE 350"":[""2017"",""2018"",""2019""],""FE 450"":[""2017"",""2018"",""2019""],""FE 501"":[""2017"",""2018"",""2019""],""TC 125"":[""2016"",""2017"",""2018""],""TC 250"":[""2016"",""2017"",""2018""],""TE 150"":[""2017"",""2018"",""2019""],""TE 250"":[""2017"",""2018""],""TE 250I"":[""2018"",""2019""],""TE 300"":[""2017"",""2018""],""TE 300I"":[""2018"",""2019""]}}",2016||2017||2018||2019,HUSQVARNA,FC 250||FC 350||FC 450||FE 250||FE 350||FE 450||FE 501||TC 125||TC 250||TE 150||TE 250||TE 250I||TE 300||TE 300I,,,,HUSQVARNA — 2016-2019,,,,,,,,,,00010000312
10230406349130,hsq-00010000313,Plastic parts kit,"{""HUSQVARNA"":{""FC 250"":[""2019"",""2020"",""2021"",""2022""],""FC 350"":[""2019"",""2020"",""2021"",""2022""],""FC 450"":[""2019"",""2020"",""2021"",""2022""],""FC 450 ROCKSTAR EDITION"":[""2020""],""FE 250"":[""2020"",""2021"",""2022"",""2023""],""FE 250 HERITAGE"":[""2023""],""FE 350"":[""2020"",""2021"",""2022"",""2023""],""FE 350 ROCKSTAR EDITION"":[""2021"",""2022""],""FE 350S"":[""2020"",""2021"",""2022"",""2023""],""FE 450"":[""2020"",""2021"",""2022"",""2023""],""FE 501"":[""2020"",""2021"",""2022"",""2023""],""FE 501S"":[""2020"",""2021"",""2022"",""2023""],""TC 125"":[""2019"",""2020"",""2021"",""2022""],""TC 250"":[""2019"",""2020"",""2021"",""2022""],""TE 150"":[""2023""],""TE 150I"":[""2020"",""2021"",""2022""],""TE 250"":[""2023""],""TE 250I"":[""2020"",""2021"",""2022""],""TE 300"":[""2023""],""TE 300I"":[""2020"",""2021"",""2022""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2021"",""2022""]}}",2019||2020||2021||2022||2023,HUSQVARNA,FC 250||FC 350||FC 450||FC 450 ROCKSTAR EDITION||FE 250||FE 250 HERITAGE||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 450||FE 501||FE 501S||TC 125||TC 250||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION,,,,HUSQVARNA — 2019-2023,,,,,,,,,,00010000313
9369754304842,hsq-00010000314,Plastic parts kit,"{""HUSQVARNA"":{""FC 250"":[""2019"",""2020"",""2021"",""2022""],""FC 350"":[""2019"",""2020"",""2021"",""2022""],""FC 450"":[""2019"",""2020"",""2021"",""2022""],""FC 450 ROCKSTAR EDITION"":[""2020""],""FE 250"":[""2020"",""2021"",""2022"",""2023""],""FE 250 HERITAGE"":[""2023""],""FE 350"":[""2020"",""2021"",""2022"",""2023""],""FE 350 ROCKSTAR EDITION"":[""2021"",""2022""],""FE 350S"":[""2020"",""2021"",""2022"",""2023""],""FE 450"":[""2020"",""2021"",""2022"",""2023""],""FE 501"":[""2020"",""2021"",""2022"",""2023""],""FE 501S"":[""2020"",""2021"",""2022"",""2023""],""TC 125"":[""2019"",""2020"",""2021"",""2022""],""TC 250"":[""2019"",""2020"",""2021"",""2022""],""TE 150"":[""2023""],""TE 150I"":[""2020"",""2021"",""2022""],""TE 250"":[""2023""],""TE 250I"":[""2020"",""2021"",""2022""],""TE 300"":[""2023""],""TE 300I"":[""2020"",""2021"",""2022""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2021"",""2022""]}}",2019||2020||2021||2022||2023,HUSQVARNA,FC 250||FC 350||FC 450||FC 450 ROCKSTAR EDITION||FE 250||FE 250 HERITAGE||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 450||FE 501||FE 501S||TC 125||TC 250||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION,,,,HUSQVARNA — 2019-2023,,,,,,,,,,00010000314
10230405202250,hsq-00010000316,Factory Racing triple clamp kit,"{""HUSQVARNA"":{""FE 250"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 350 ROCKSTAR EDITION"":[""2021"",""2022""],""FE 350S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""FE 450"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 501"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""],""FE 501S"":[""2015"",""2016"",""2020"",""2021"",""2022"",""2023""],""TE 125"":[""2014"",""2015"",""2016""],""TE 150"":[""2017"",""2018"",""2019"",""2023""],""TE 150I"":[""2020"",""2021"",""2022""],""TE 250"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2023""],""TE 250I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2023""],""TE 300I"":[""2018"",""2019"",""2020"",""2021"",""2022""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2021"",""2022""]}}",2014||2015||2016||2017||2018||2019||2020||2021||2022||2023,HUSQVARNA,FE 250||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 450||FE 501||FE 501S||TE 125||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION,,,,HUSQVARNA — 2014-2023,,,,,,,,,,00010000316
9369846579530,hsq-00010000321,Plastic parts kit,"{""HUSQVARNA"":{""FC 250"":[""2016"",""2017"",""2018""],""FC 350"":[""2016"",""2017"",""2018""],""FC 450"":[""2016"",""2017"",""2018""],""FC 450 ROCKSTAR EDITION"":[""2018""],""TC 125"":[""2016"",""2017"",""2018""],""TC 250"":[""2016"",""2017"",""2018""]}}",2016||2017||2018,HUSQVARNA,FC 250||FC 350||FC 450||FC 450 ROCKSTAR EDITION||TC 125||TC 250,,,,HUSQVARNA — 2016-2018,,,,,,,,,,00010000321
10230406250826,hsq-00010000322,Plastic parts kit,"{""HUSQVARNA"":{""FC 250"":[""2019"",""2020"",""2021"",""2022""],""FC 350"":[""2019"",""2020"",""2021"",""2022""],""FC 450"":[""2019"",""2020"",""2021"",""2022""],""FC 450 ROCKSTAR EDITION"":[""2019"",""2020""],""TC 125"":[""2019"",""2020"",""2021"",""2022""],""TC 250"":[""2019"",""2020"",""2021"",""2022""]}}",2019||2020||2021||2022,HUSQVARNA,FC 250||FC 350||FC 450||FC 450 ROCKSTAR EDITION||TC 125||TC 250,,,,HUSQVARNA — 2019-2022,,,,,,,,,,00010000322
9369754337610,hsq-00010000323,Plastic parts kit,"{""HUSQVARNA"":{""FC 250"":[""2019"",""2020"",""2021"",""2022""],""FC 350"":[""2019"",""2020"",""2021"",""2022""],""FC 450"":[""2019"",""2020"",""2021"",""2022""],""FC 450 ROCKSTAR EDITION"":[""2019"",""2020""],""TC 125"":[""2019"",""2020"",""2021"",""2022""],""TC 250"":[""2019"",""2020"",""2021"",""2022""]}}",2019||2020||2021||2022,HUSQVARNA,FC 250||FC 350||FC 450||FC 450 ROCKSTAR EDITION||TC 125||TC 250,,,,HUSQVARNA — 2019-2022,,,,,,,,,,00010000323
10230405923146,hsq-00010000344,Lock-on grip set,"{""GASGAS"":{""EE 5"":[""2020"",""2021"",""2022"",""2023"",""2024"",""2025""]},""HUSQVARNA"":{""TC 50"":[""2021"",""2022"",""2023"",""2024"",""2025"",""2026"",""2027""]}}",2020||2021||2022||2023||2024||2025||2026||2027,GASGAS||HUSQVARNA,EE 5||TC 50,,,,"GASGAS, HUSQVARNA — 2020-2027",,,,,,,,,,00010000344
9637444845898,hsq-00010000345,Flame brake disc kit,"{""GASGAS"":{""TX 125"":[""2017""],""TX 300"":[""2017"",""2025"",""2026""],""TX 300 HERITAGE"":[""2025""]},""HUSQVARNA"":{""FC 250"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025"",""2026"",""2027""],""FC 250 FACTORY EDITION"":[""2025"",""2026""],""FC 250 ROCKSTAR EDITION"":[""2024""],""FC 350"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025"",""2027""],""FC 450"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025"",""2026"",""2027""],""FC 450 FACTORY EDITION"":[""2025"",""2026""],""FC 450 ROCKSTAR EDITION"":[""2018"",""2019"",""2020"",""2023"",""2024""],""FE 250"":[""2015"",""2016"",""2017"",""2025"",""2026""],""FE 250 HERITAGE"":[""2025""],""FE 350"":[""2015"",""2016"",""2017"",""2025"",""2026""],""FE 350 HERITAGE"":[""2025""],""FE 350 PRO"":[""2025"",""2026""],""FE 350 ROCKSTAR EDITION"":[""2022""],""FE 350S"":[""2015"",""2016"",""2025"",""2026""],""FE 350S HERITAGE"":[""2025""],""FE 450"":[""2015"",""2016"",""2017"",""2025"",""2026""],""FE 450 HERITAGE"":[""2025""],""FE 501"":[""2015"",""2016"",""2017"",""2025"",""2026""],""FE 501 HERITAGE"":[""2025""],""FE 501S"":[""2015"",""2016"",""2025"",""2026""],""FE 501S HERITAGE"":[""2025""],""FX 350"":[""2017"",""2025"",""2026""],""FX 350 HERITAGE"":[""2025""],""FX 450"":[""2017""],""TC 125"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2025"",""2026"",""2027""],""TC 150"":[""2025""],""TC 250"":[""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"",""2024"",""2025"",""2026"",""2027""],""TC 300"":[""2025"",""2027""],""TE 125"":[""2015"",""2016"",""2025"",""2026""],""TE 150"":[""2017"",""2025"",""2026""],""TE 250"":[""2015"",""2016"",""2017"",""2025"",""2026""],""TE 250 HERITAGE"":[""2025""],""TE 300"":[""2015"",""2016"",""2017"",""2025"",""2026""],""TE 300 HERITAGE"":[""2025""],""TE 300 PRO"":[""2025"",""2026""]}}",2014||2015||2016||2017||2018||2019||2020||2021||2022||2023||2024||2025||2026||2027,GASGAS||HUSQVARNA,FC 250||FC 250 FACTORY EDITION||FC 250 FACTORY EDITION||FC 250 ROCKSTAR EDITION||FC 350||FC 450||FC 450 FACTORY EDITION||FC 450 FACTORY EDITION||FC 450 ROCKSTAR EDITION||FE 250||FE 250 HERITAGE||FE 350||FE 350 HERITAGE||FE 350 PRO||FE 350 PRO||FE 350 ROCKSTAR EDITION||FE 350S||FE 350S HERITAGE||FE 450||FE 450 HERITAGE||FE 501||FE 501 HERITAGE||FE 501S||FE 501S HERITAGE||FX 350||FX 350 HERITAGE||FX 450||TC 125||TC 150||TC 250||TC 300||TE 125||TE 150||TE 250||TE 250 HERITAGE||TE 300||TE 300 HERITAGE||TE 300 PRO||TE 300 PRO||TX 125||TX 300||TX 300 HERITAGE,,,,"GASGAS, HUSQVARNA — 2014-2027",,,,,,,,,,00010000345
9637444813130,hsq-00010000346,Flame brake disc kit,"{""GASGAS"":{""TX 125"":[""2018"",""2019""],""TX 300"":[""2018"",""2019""],""TX 300I"":[""2020"",""2021""]},""HUSQVARNA"":{""FC 250"":[""2018""],""FC 350"":[""2018""],""FC 450"":[""2018""],""FC 450 ROCKSTAR EDITION"":[""2018""],""FE 250"":[""2018"",""2019"",""2020"",""2021""],""FE 350"":[""2018"",""2019"",""2020"",""2021""],""FE 350 ROCKSTAR EDITION"":[""2021""],""FE 350S"":[""2020"",""2021""],""FE 450"":[""2018"",""2019"",""2020"",""2021""],""FE 501"":[""2018"",""2019"",""2020"",""2021""],""FE 501S"":[""2020"",""2021""],""FX 350"":[""2018"",""2019"",""2020"",""2021""],""FX 450"":[""2018"",""2019"",""2020"",""2021""],""TC 125"":[""2018""],""TC 250"":[""2018""],""TE 150"":[""2018"",""2019""],""TE 150I"":[""2020"",""2021""],""TE 250"":[""2018""],""TE 250I"":[""2018"",""2019"",""2020"",""2021""],""TE 300"":[""2018""],""TE 300I"":[""2018"",""2019"",""2020"",""2021""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2021""]}}",2018||2019||2020||2021,GASGAS||HUSQVARNA,FC 250||FC 350||FC 450||FC 450 ROCKSTAR EDITION||FE 250||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 450||FE 501||FE 501S||FX 350||FX 450||TC 125||TC 250||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION||TX 125||TX 300||TX 300I,,,,"GASGAS, HUSQVARNA — 2018-2021",,,,,,,,,,00010000346
10230405431626,hsq-00010000347,Highering kit,"{""HUSQVARNA"":{""FE 250"":[""2020"",""2021"",""2022"",""2023""],""FE 250 HERITAGE"":[""2023""],""FE 350"":[""2020"",""2021"",""2022"",""2023""],""FE 350 ROCKSTAR EDITION"":[""2022""],""FE 350S"":[""2020"",""2021"",""2022"",""2023""],""FE 450"":[""2020"",""2021"",""2022"",""2023""],""FE 501"":[""2020"",""2021"",""2022"",""2023""],""FE 501S"":[""2020"",""2021"",""2022"",""2023""],""TE 150"":[""2023""],""TE 150I"":[""2020"",""2021"",""2022""],""TE 250"":[""2023""],""TE 250I"":[""2020"",""2021"",""2022""],""TE 300"":[""2023""],""TE 300I"":[""2020"",""2021"",""2022""],""TE 300I JARVIS EDITION"":[""2020""],""TE 300I ROCKSTAR EDITION"":[""2022""]}}",2020||2021||2022||2023,HUSQVARNA,FE 250||FE 250 HERITAGE||FE 350||FE 350 ROCKSTAR EDITION||FE 350S||FE 450||FE 501||FE 501S||TE 150||TE 150I||TE 250||TE 250I||TE 300||TE 300I||TE 300I JARVIS EDITION||TE 300I ROCKSTAR EDITION,,,,HUSQVARNA — 2020-2023,,,,,,,,,,00010000347
9369815253322,hsq-00010000351,Heavy duty wheel set,"{""HUSQVARNA"":{""NORDEN 901"":[""2022"",""2023"",""2024""],""NORDEN 901 EXPEDITION"":[""2023"",""2024""]}}",2022||2023||2024,HUSQVARNA,NORDEN 901||NORDEN 901 EXPEDITION,,,,HUSQVARNA — 2022-2024,,,,,,,,,,00010000351
